,species,th_d,zchip,th_m,phi_m,v_esc
0,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.0,0.0,0.46875
1,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.0,0.3490658503988659,0.46875
2,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.0,0.6981317007977318,0.46875
3,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.0,1.0471975511965976,0.46875
4,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.7853981633974483,0.0,0.0
5,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.7853981633974483,0.3490658503988659,0.0
6,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.7853981633974483,0.6981317007977318,0.0
7,$^{88}$Sr,0.4363323129985824,68147.34606485452,0.7853981633974483,1.0471975511965976,0.0
8,$^{88}$Sr,0.4363323129985824,68147.34606485452,1.5707963267948966,0.0,0.0
9,$^{88}$Sr,0.4363323129985824,68147.34606485452,1.5707963267948966,0.3490658503988659,0.0
10,$^{88}$Sr,0.4363323129985824,68147.34606485452,1.5707963267948966,0.6981317007977318,0.0
11,$^{88}$Sr,0.4363323129985824,68147.34606485452,1.5707963267948966,1.0471975511965976,0.0
12,$^{88}$Sr,0.4363323129985824,68147.34606485452,2.356194490192345,0.0,0.0
13,$^{88}$Sr,0.4363323129985824,68147.34606485452,2.356194490192345,0.3490658503988659,0.0
14,$^{88}$Sr,0.4363323129985824,68147.34606485452,2.356194490192345,0.6981317007977318,0.0
15,$^{88}$Sr,0.4363323129985824,68147.34606485452,2.356194490192345,1.0471975511965976,0.0
16,$^{88}$Sr,0.4363323129985824,68147.34606485452,3.141592653589793,0.0,2.421875
17,$^{88}$Sr,0.4363323129985824,68147.34606485452,3.141592653589793,0.3490658503988659,2.421875
18,$^{88}$Sr,0.4363323129985824,68147.34606485452,3.141592653589793,0.6981317007977318,2.421875
19,$^{88}$Sr,0.4363323129985824,68147.34606485452,3.141592653589793,1.0471975511965976,2.421875
20,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.0,0.0,1.875
21,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.0,0.3490658503988659,1.875
22,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.0,0.6981317007977318,1.875
23,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.0,1.0471975511965976,1.875
24,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.7853981633974483,0.0,0.3125
25,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.7853981633974483,0.3490658503988659,0.15625
26,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.7853981633974483,0.6981317007977318,0.15625
27,$^{88}$Sr,0.4363323129985824,102221.01909728177,0.7853981633974483,1.0471975511965976,0.0
28,$^{88}$Sr,0.4363323129985824,102221.01909728177,1.5707963267948966,0.0,0.234375
29,$^{88}$Sr,0.4363323129985824,102221.01909728177,1.5707963267948966,0.3490658503988659,0.0
30,$^{88}$Sr,0.4363323129985824,102221.01909728177,1.5707963267948966,0.6981317007977318,0.0
31,$^{88}$Sr,0.4363323129985824,102221.01909728177,1.5707963267948966,1.0471975511965976,0.0
32,$^{88}$Sr,0.4363323129985824,102221.01909728177,2.356194490192345,0.0,0.3125
33,$^{88}$Sr,0.4363323129985824,102221.01909728177,2.356194490192345,0.3490658503988659,0.15625
34,$^{88}$Sr,0.4363323129985824,102221.01909728177,2.356194490192345,0.6981317007977318,0.15625
35,$^{88}$Sr,0.4363323129985824,102221.01909728177,2.356194490192345,1.0471975511965976,0.15625
36,$^{88}$Sr,0.4363323129985824,102221.01909728177,3.141592653589793,0.0,2.421875
37,$^{88}$Sr,0.4363323129985824,102221.01909728177,3.141592653589793,0.3490658503988659,2.421875
38,$^{88}$Sr,0.4363323129985824,102221.01909728177,3.141592653589793,0.6981317007977318,2.421875
39,$^{88}$Sr,0.4363323129985824,102221.01909728177,3.141592653589793,1.0471975511965976,2.421875
40,$^{88}$Sr,0.4363323129985824,136294.69212970903,0.0,0.0,2.421875
41,$^{88}$Sr,0.4363323129985824,136294.69212970903,0.0,0.3490658503988659,2.421875
42,$^{88}$Sr,0.4363323129985824,136294.69212970903,0.0,0.6981317007977318,2.421875
43,$^{88}$Sr,0.4363323129985824,136294.69212970903,0.0,1.0471975511965976,2.421875
44,$^{88}$Sr,0.4363323129985824,136294.69212970903,0.7853981633974483,0.0,0.390625
45,$^{88}$Sr,0.4363323129985824,136294.69212970903,0.7853981633974483,0.3490658503988659,0.234375
